product_no,category_nm,item_nm,kind_nm,item_kind,product_cls_unit,country_nm,latitude,longitude,dt,base_dt,base_pr,prev_1y_dt,prev_1y_pr,present_month,season,season_month,yoy_pct,price_rank
331,채소류,무,월동,무(월동),1개,안동,36.568425,128.7295375,20260102,당일,1880.0,1년전,2600.0,1,겨울,1,-27.692307692307693,1
331,채소류,무,월동,무(월동),1개,세종,36.4803512,127.2894325,20260102,당일,1880.0,1년전,2500.0,1,겨울,1,-24.8,1
331,채소류,무,월동,무(월동),1개,용인,37.2412522,127.1774916,20260102,당일,1880.0,1년전,2600.0,1,겨울,1,-27.692307692307693,1
331,채소류,무,월동,무(월동),1개,전주,35.824171,127.14805,20260102,당일,2105.0,1년전,2782.0,1,겨울,1,-24.335010783608915,4
331,채소류,무,월동,무(월동),1개,수원,37.263476,127.028646,20260102,당일,2140.0,1년전,3615.0,1,겨울,1,-40.80221300138312,5
331,채소류,무,월동,무(월동),1개,고양,37.6583981,126.8319831,20260102,당일,2230.0,1년전,3270.0,1,겨울,1,-31.804281345565748,6
331,채소류,무,월동,무(월동),1개,춘천,37.8813739,127.7300034,20260102,당일,2250.0,1년전,2830.0,1,겨울,1,-20.49469964664311,7
331,채소류,무,월동,무(월동),1개,서울,37.5666103,126.9783882,20260102,당일,2287.0,1년전,3602.0,1,겨울,1,-36.507495835646864,8
331,채소류,무,월동,무(월동),1개,창원,35.2278771,128.6818746,20260102,당일,2355.0,1년전,3009.0,1,겨울,1,-21.734795613160518,9
331,채소류,무,월동,무(월동),1개,청주,36.6424987,127.488975,20260102,당일,2390.0,1년전,3752.0,1,겨울,1,-36.30063965884862,10
331,채소류,무,월동,무(월동),1개,울산,35.5394773,129.3112994,20260102,당일,2470.0,1년전,3541.0,1,겨울,1,-30.24569330697543,11
331,채소류,무,월동,무(월동),1개,천안,36.815147,127.113892,20260102,당일,2480.0,1년전,2600.0,1,겨울,1,-4.615384615384616,12
331,채소류,무,월동,무(월동),1개,부산,35.179816,129.0750223,20260102,당일,2480.0,1년전,3190.0,1,겨울,1,-22.25705329153605,12
331,채소류,무,월동,무(월동),1개,대전,36.3504396,127.3849508,20260102,당일,2645.0,1년전,3148.0,1,겨울,1,-15.978398983481576,14
331,채소류,무,월동,무(월동),1개,광주,35.160032,126.851338,20260102,당일,2660.0,1년전,2998.0,1,겨울,1,-11.274182788525684,15
331,채소류,무,월동,무(월동),1개,순천,34.9506984,127.487243,20260102,당일,2660.0,1년전,3496.0,1,겨울,1,-23.91304347826087,15
331,채소류,무,월동,무(월동),1개,인천,37.4559418,126.7051505,20260102,당일,2745.0,1년전,3396.0,1,겨울,1,-19.169611307420496,17
331,채소류,무,월동,무(월동),1개,포항,36.0190333,129.3433898,20260102,당일,2745.0,1년전,3830.0,1,겨울,1,-28.3289817232376,17
331,채소류,무,월동,무(월동),1개,제주,33.4273366,126.5758344,20260102,당일,2745.0,1년전,2598.0,1,겨울,1,5.658198614318707,17
331,채소류,무,월동,무(월동),1개,대구,35.87139,128.601763,20260102,당일,2870.0,1년전,4870.0,1,겨울,1,-41.067761806981515,20
